,sample.no,specimen,year,month,weight,sex,maturity.stage,DML,eviscerate.weight,dig.weight,nid.length,nid.weight,ovary.weight
112,122089001,1003,1990,8,210,2,2,205,121,5.206,20,0.277,0.1
117,122089001,1015,1990,8,278,2,2,224,157,6.617,18,0.424,0.162
120,122089001,1024,1990,8,311,2,2,232,175,7.149,19,0.287,0.184
121,122089001,1027,1990,8,321,2,2,229,184,9.296,32,0.45,0.329
124,122089001,1036,1990,8,337,2,2,231,192,10.081,33,0.726,0.496
125,122089001,1040,1990,8,268,2,2,215,153,4.728,25.6,0.379,0.189
128,122089001,1045,1990,8,312,2,2,235,180,5.878,29,0.558,0.42
133,122089001,1065,1990,8,276,2,2,216,161,4.873,35,0.243,0.214
135,122089001,1073,1990,8,257,2,2,216,148,9.391,25,0.216,0.093
136,122089001,1074,1990,8,272,2,2,214,150,8.015,27,0.4,0.256
137,122089001,1076,1990,8,272,2,2,209,161,5.65,27,0.476,0.227
141,113099001,1040,1990,9,381,2,2,230,215,11.459,35,0.861,0.484
142,113099001,1042,1990,9,453,2,2,257,266,15.062,38.6,1.64,1.049
143,113099001,1044,1990,9,353,2,2,225,211,8.308,33,0.655,0.248
144,113099001,1045,1990,9,347,2,2,235,206,10.56,36,1.096,0.49
145,113099001,1053,1990,9,393,2,2,235,225,11.44,30,0.649,0.094
146,113099001,1056,1990,9,407,2,2,243,227,10.041,34,0.789,0.489
147,113099001,1059,1990,9,458,2,2,259,275,14.463,30,1.083,0.24
148,113099001,1061,1990,9,411,2,2,238,245,11.032,35,1.072,0.298
151,113099002,1003,1990,9,330,2,2,226,189,7.852,32,0.721,0.177
152,113099002,1004,1990,9,279,2,2,214,157,7.748,35,1.026,0.411
155,125099001,1008,1990,9,348,2,2,222,208,10.647,35,0.929,0.62
156,125099001,1010,1990,9,364,2,2,239,225,9.183,35,0.937,0.183
157,125099001,1019,1990,9,374,2,2,248,232,10.146,46,1.984,0.808
158,125099001,1027,1990,9,327,2,2,249,206,8.46,43.3,1.078,0.394
160,101099001,1011,1990,9,281,2,2,232,160,11.768,51,3.373,1.295
161,101099001,1012,1990,9,306,2,2,222,162,12.388,47,2.183,1.154
163,101099001,1014,1990,9,336,2,2,235,182,15.833,49,2.745,1.206
164,101099001,1015,1990,9,300,2,2,233,167,10.644,46.5,2.598,1.8
168,101099001,1020,1990,9,206,2,2,204,106,9.467,39,1.184,0.813
170,101099001,1022,1990,9,195,2,2,201,106,6.8,35,1,0.224
171,101099001,1023,1990,9,247,2,2,219,133,9.111,39,1.229,0.631
172,101099001,1024,1990,9,197,2,2,204,103,7.896,39,1.503,0.617
174,101099001,1026,1990,9,220,2,2,211,113,9.612,44,1.89,0.622
175,101099001,1027,1990,9,203,2,2,201,114,5.387,35,0.946,0.57
181,101099002,1001,1990,9,197,2,2,201,104,9.626,36,0.894,0.735
184,101099002,1004,1990,9,293,2,2,228,159,12.737,50,3.022,0.949
185,101099002,1005,1990,9,209,2,2,204,108,8.74,37.5,1.395,0.73
186,101099002,1006,1990,9,222,2,2,212,117,10.156,37,1.472,1.583
188,101099002,1009,1990,9,225,2,2,206,119,8.757,36.1,1.195,0.981
190,101099002,1013,1990,9,263,2,2,225,150,11.9,45.1,2.414,1.643
193,101099002,1016,1990,9,207,2,2,206,114,8.79,40,1.228,0.515
194,101099002,1017,1990,9,252,2,2,217,134,11.062,36,1.403,0.63
197,101099002,1021,1990,9,291,2,2,219,150,13.274,42,2.014,1.081
202,113099001,1004,1990,9,483,2,2,260,288,11.021,37,1.133,0.646
204,113099001,1007,1990,9,381,2,2,245,223,12.094,44,2.424,1.277
205,113099001,1008,1990,9,321,2,2,218,178,7.843,30,0.565,0.353
206,113099001,1009,1990,9,354,2,2,217,203,9.518,30,0.67,0.771
207,113099001,1010,1990,9,374,2,2,240,233,6.084,35,1.04,0.567
208,113099001,1011,1990,9,397,2,2,234,231,10.369,32,0.997,0.651
209,113099001,1012,1990,9,381,2,2,229,223,10.006,32,1.022,0.558
210,113099001,1013,1990,9,299,2,2,210,168,6.766,28,0.48,0.388
212,113099001,1015,1990,9,389,2,2,240,224,10.616,32,0.746,0.295
213,113099001,1020,1990,9,396,2,2,236,233,8.897,37,0.483,0.265
214,113099001,1021,1990,9,326,2,2,230,188,6.227,27,0.696,0.328
215,113099001,1022,1990,9,382,2,2,230,225,11.636,33,0.934,0.277
217,113099001,1024,1990,9,376,2,2,237,224,13.132,32,0.86,0.515
218,113099001,1025,1990,9,393,2,2,248,228,10.845,35,0.75,0.518
219,113099001,1026,1990,9,364,2,2,225,211,8.864,34,0.82,0.515
221,116109001,1007,1990,10,418,2,2,259,246,13.267,49,2.437,0.896
237,125109001,1002,1990,10,238,2,2,205,135,7.603,46,2.185,0.66
246,101119001,1017,1990,11,287,2,2,224,172,7.388,49,2.961,0.758
270,101119001,1003,1990,11,240,2,2,215,138,7.151,47,3.312,1.531
271,101119001,1005,1990,11,244,2,2,213,144,6.856,42,2.555,0.864
275,101119001,1033,1990,11,240,2,2,205,139,6.291,35,0.94,0.344
277,101119001,1035,1990,11,262,2,2,214,150,9.407,54,3.408,0.465
294,123119001,1038,1990,11,290,2,2,220,167,8.596,45,2.458,0.638
300,123119001,1051,1990,11,216,2,2,206,128,4.736,60,2.135,0.363
302,123119001,1057,1990,11,304,2,2,229,178,10.066,55,4.79,2.553
313,123119002,1014,1990,11,239,2,2,211,134,7.978,51,3.515,1.498
