species,state
Florisuga_mellivora,1
Phaeth_supercil,2
Phaeth_longuemareus,1
Doryfera_johannae,1
Colibri_thalassinus,1
Anthrac_nigricollis,1
Anthrac_prevostii,1
Coeligena_torquata,1
Coeligena_bonapartei,1
Lamprolaima_rhami,2
Eugenes_fulgens,2
Heliomaster_constan,2
Heliomaster_longirostris,1
Lampornis_clemenciae,1
Lamporn_ameth,1
Lampornis_viridipallens,2
Tilmatura_dupontii,2
Calothorax_lucifer,1
Doricha_eliza,1
Archilochus_colubris,1
Selasphorus_platycercus,1
Selasphorus_rufus,1
Atthis_heloisa,2
Hylocharis_leucotis,1
Campylopt_rufus,1
Campylopt_excellens,1
Campylopt_largipennis,1
Campylopt_hemileucurus,1
Campylopt_villaviscen,1
Cynanthus_sordidus,1
Cynanthus_latirostris,2
Chlorostil_canivetii,2
Eupherusa_eximia,2
Eupherusa_cyanophrys,1
Eupherusa_poliocerca,1
Leucippus_baeri,1
Leucippus_taczanowski,2
Amazilia_violiceps,2
Amazilia_cyanocephala,1
Amazilia_cyanura,1
Amazilia_berryllina,1
Amazilia_edward,1
Amazilia_saucerottia,1
Amazilia_tobacii,2
Amazilia_viridigaster,1
Amazilia_rutila,1
Amazilia_yucatanensis,1
Amazilia_tzacatl,1
Amazilia_amazilia,1
Amazilia_franciae,1
Amazilia_versicolor,1
Chrysuronia_oenone,2
Lepidopyga_coeruleo,2
Amazilia_chionopectus,2
Amazilia_lactea,1
Amazilia_fimbriata,1
Hylocharis_chrysura,1
Hylocharis_sapphirina,2
Amazilia_chionogaster,2
Amazilia_viridicauda,1
Amazilia_amabilis,1
Amazilia_decora,1
Amazilia_candida,1
Hylocharis_eliciae,2
Hylocharis_cyanus,1
Damophila_julie,1
